timestamp,sensor_name,value
1512567878045,Door,activate
1512567879450,Temperature_1,24.6
1512567879453,Humidity_1,14.889108985369157
1512567879459,Temperature_2,24.49
1512567879461,Humidity_2,14.149189701764197
1512567879463,Brightness_2,16.0
1512567881244,Sound_P,68.61682354019833
1512567881247,PodiumIR,94
1512567886094,Temperature_1,24.6
1512567886097,Humidity_1,14.889108985369157
1512567886103,Temperature_2,24.49
1512567886105,Humidity_2,14.149189701764197
1512567886108,Brightness_2,16.0
1512567891250,Sound_P,64.61127993529891
1512567891260,PodiumIR,95
1512567892501,Temperature_1,24.6
1512567892504,Humidity_1,14.889108985369157
1512567892509,Temperature_2,24.49
1512567892511,Humidity_2,14.149189701764197
1512567892515,Brightness_2,16.0
1512567899309,Temperature_1,24.6
1512567899312,Humidity_1,14.889108985369157
1512567899318,Temperature_2,24.49
1512567899321,Humidity_2,14.025869821163372
1512567899324,Brightness_2,16.0
1512567901265,Sound_P,66.44593723960276
1512567901268,PodiumIR,94
1512567905970,Temperature_1,24.6
1512567905973,Humidity_1,14.889108985369157
1512567905979,Temperature_2,24.49
1512567905981,Humidity_2,14.025869821163372
1512567905983,Brightness_2,16.0
1512567911271,Sound_P,65.24535518573873
1512567911274,PodiumIR,97
1512567912421,Temperature_1,24.6
1512567912424,Humidity_1,14.889108985369157
1512567912429,Temperature_2,24.49
1512567912432,Humidity_2,14.025869821163372
1512567912434,Brightness_2,16.0
1512567918840,Temperature_1,24.6
1512567918843,Humidity_1,14.889108985369157
1512567918849,Temperature_2,24.49
1512567918852,Humidity_2,14.025869821163372
1512567918854,Brightness_2,16.0
1512567921277,Sound_P,67.56641902255494
1512567921280,PodiumIR,91
1512567925518,Temperature_1,24.6
1512567925521,Humidity_1,14.889108985369157
1512567925527,Temperature_2,24.49
1512567925530,Humidity_2,14.025869821163372
1512567925533,Brightness_2,16.0
1512567931283,Sound_P,66.44593723960276
1512567931286,PodiumIR,98
1512567932277,Temperature_1,24.6
1512567932280,Humidity_1,15.012428865969973
1512567932286,Temperature_2,24.49
1512567932289,Humidity_2,14.025869821163372
1512567932292,Brightness_2,16.0
1512567938702,Temperature_1,24.6
1512567938705,Humidity_1,15.012428865969973
1512567938711,Temperature_2,24.49
1512567938713,Humidity_2,14.025869821163372
1512567938715,Brightness_2,16.0
1512567941289,Sound_P,65.8563679754536
1512567941292,PodiumIR,89
1512567945493,Temperature_1,24.6
1512567945496,Humidity_1,15.012428865969973
1512567945502,Temperature_2,24.49
1512567945504,Humidity_2,14.025869821163372
1512567945508,Brightness_2,16.0
1512567951295,Sound_P,67.01551720930587
1512567951299,PodiumIR,85
1512567951947,Temperature_1,24.6
1512567951950,Humidity_1,15.012428865969973
1512567951956,Temperature_2,24.49
1512567951958,Humidity_2,14.025869821163372
1512567951962,Brightness_2,16.0
1512567958503,Temperature_1,24.6
1512567958506,Humidity_1,15.012428865969973
1512567958512,Temperature_2,24.49
1512567958514,Humidity_2,14.149189701764197
1512567958517,Brightness_2,16.0
1512567961301,Sound_P,66.44593723960276
1512567961304,PodiumIR,95
1512567964948,Temperature_1,24.6
1512567964952,Humidity_1,15.012428865969973
1512567964957,Temperature_2,24.49
1512567964960,Humidity_2,14.149189701764197
1512567964962,Brightness_2,16.0
1512567971307,Sound_P,65.8563679754536
1512567971310,PodiumIR,87
1512567971350,Temperature_1,24.6
1512567971353,Humidity_1,15.012428865969973
1512567971359,Temperature_2,24.49
1512567971361,Humidity_2,14.149189701764197
1512567971364,Brightness_2,16.0
1512567977760,Temperature_1,24.6
1512567977763,Humidity_1,15.012428865969973
1512567977770,Temperature_2,24.49
1512567977773,Humidity_2,14.149189701764197
1512567977776,Brightness_2,16.0
1512567981313,Sound_P,65.8563679754536
1512567981322,PodiumIR,96
1512567984513,Temperature_1,24.6
1512567984516,Humidity_1,15.012428865969973
1512567984522,Temperature_2,24.49
1512567984524,Humidity_2,14.149189701764197
1512567984527,Brightness_2,16.0
1512567990971,Temperature_1,24.6
1512567990974,Humidity_1,15.012428865969973
1512567990979,Temperature_2,24.49
1512567990982,Humidity_2,14.149189701764197
1512567990984,Brightness_2,16.0
1512567991327,Sound_P,65.24535518573873
1512567991330,PodiumIR,102
1512567997516,Temperature_1,24.6
1512567997519,Humidity_1,15.012428865969973
1512567997524,Temperature_2,24.49
1512567997527,Humidity_2,14.149189701764197
1512567997530,Brightness_2,16.0
1512568001332,Sound_P,67.01551720930587
1512568001336,PodiumIR,96
1512568003963,Temperature_1,24.6
1512568003966,Humidity_1,15.012428865969973
1512568003972,Temperature_2,24.49
1512568003975,Humidity_2,14.149189701764197
1512568003977,Brightness_2,16.0
1512568010420,Temperature_1,24.6
1512568010422,Humidity_1,15.012428865969973
1512568010427,Temperature_2,24.49
1512568010429,Humidity_2,14.149189701764197
1512568010431,Brightness_2,16.0
1512568011339,Sound_P,66.44593723960276
1512568011342,PodiumIR,93
1512568016831,Temperature_1,24.6
1512568016834,Humidity_1,15.012428865969973
1512568016839,Temperature_2,24.49
1512568016841,Humidity_2,14.149189701764197
1512568016844,Brightness_2,16.0
1512568021344,Sound_P,67.56641902255494
1512568021348,PodiumIR,112
1512568023526,Temperature_1,24.6
1512568023529,Humidity_1,15.012428865969973
1512568023535,Temperature_2,24.49
1512568023537,Humidity_2,14.149189701764197
1512568023540,Brightness_2,16.0
1512568029979,Temperature_1,24.6
1512568029982,Humidity_1,15.012428865969973
1512568029988,Temperature_2,24.49
1512568029991,Humidity_2,14.149189701764197
1512568029994,Brightness_2,16.0
1512568031350,Sound_P,65.24535518573873
1512568031353,PodiumIR,73
1512568036492,Temperature_1,24.6
1512568036495,Humidity_1,15.012428865969973
1512568036501,Temperature_2,24.49
1512568036503,Humidity_2,14.149189701764197
1512568036505,Brightness_2,16.0
1512568041361,Sound_P,63.95233273361063
1512568041364,PodiumIR,96
1512568042890,Temperature_1,24.6
1512568042893,Humidity_1,15.012428865969973
1512568042899,Temperature_2,24.49
1512568042901,Humidity_2,14.149189701764197
1512568042903,Brightness_2,16.0
1512568049429,Temperature_1,24.6
1512568049432,Humidity_1,15.012428865969973
1512568049438,Temperature_2,24.49
1512568049440,Humidity_2,14.149189701764197
1512568049444,Brightness_2,16.0
1512568051367,Sound_P,66.44593723960276
1512568051370,PodiumIR,96
1512568055942,Temperature_1,24.6
1512568055945,Humidity_1,15.012428865969973
1512568055951,Temperature_2,24.49
1512568055953,Humidity_2,14.149189701764197
1512568055955,Brightness_2,16.0
1512568061373,Sound_P,65.24535518573873
1512568061377,PodiumIR,118
1512568062490,Temperature_1,24.49
1512568062493,Humidity_1,15.012428865969973
1512568062498,Temperature_2,24.49
1512568062501,Humidity_2,14.149189701764197
1512568062503,Brightness_2,16.0
1512568069202,Temperature_1,24.49
1512568069205,Humidity_1,15.012428865969973
1512568069211,Temperature_2,24.49
1512568069213,Humidity_2,14.149189701764197
1512568069215,Brightness_2,16.0
1512568071379,Sound_P,65.8563679754536
1512568071383,PodiumIR,99
1512568075854,Temperature_1,24.49
1512568075857,Humidity_1,15.012428865969973
1512568075863,Temperature_2,24.49
1512568075865,Humidity_2,14.149189701764197
1512568075867,Brightness_2,16.0
1512568081388,Sound_P,64.61127993529891
1512568081391,PodiumIR,103
1512568082302,Temperature_1,24.49
1512568082305,Humidity_1,15.012428865969973
1512568082311,Temperature_2,24.49
1512568082313,Humidity_2,14.149189701764197
1512568082316,Brightness_2,16.0
1512568088739,Temperature_1,24.49
1512568088742,Humidity_1,15.012428865969973
1512568088748,Temperature_2,24.49
1512568088759,Humidity_2,14.149189701764197
1512568088763,Brightness_2,16.0
1512568091393,Sound_P,65.24535518573873
1512568091396,PodiumIR,98
1512568095511,Temperature_1,24.49
1512568095514,Humidity_1,15.012428865969973
1512568095520,Temperature_2,24.49
1512568095522,Humidity_2,14.149189701764197
1512568095526,Brightness_2,16.0
1512568101399,Sound_P,65.24535518573873
1512568101402,PodiumIR,93
1512568101966,Temperature_1,24.49
1512568101969,Humidity_1,15.012428865969973
1512568101974,Temperature_2,24.49
1512568101977,Humidity_2,14.149189701764197
1512568101981,Brightness_2,16.0
1512568108440,Temperature_1,24.49
1512568108443,Humidity_1,15.012428865969973
1512568108449,Temperature_2,24.49
1512568108451,Humidity_2,14.149189701764197
1512568108454,Brightness_2,16.0
1512568111405,Sound_P,66.44593723960276
1512568111408,PodiumIR,140
1512568115176,Temperature_1,24.49
1512568115179,Humidity_1,15.012428865969973
1512568115185,Temperature_2,24.49
1512568115187,Humidity_2,14.149189701764197
1512568115189,Brightness_2,16.0
1512568121415,Sound_P,67.01551720930587
1512568121418,PodiumIR,96
1512568121929,Temperature_1,24.6
1512568121932,Humidity_1,14.889108985369157
1512568121938,Temperature_2,24.49
1512568121940,Humidity_2,14.149189701764197
1512568121943,Brightness_2,16.0
1512568128494,Temperature_1,24.6
1512568128497,Humidity_1,14.889108985369157
1512568128503,Temperature_2,24.49
1512568128506,Humidity_2,14.149189701764197
1512568128510,Brightness_2,16.0
1512568131427,Sound_P,65.8563679754536
1512568131431,PodiumIR,92
1512568134939,Temperature_1,24.6
1512568134942,Humidity_1,14.889108985369157
1512568134948,Temperature_2,24.49
1512568134950,Humidity_2,14.149189701764197
1512568134953,Brightness_2,16.0
1512568141394,Temperature_1,24.6
1512568141397,Humidity_1,14.889108985369157
1512568141403,Temperature_2,24.49
1512568141405,Humidity_2,14.149189701764197
1512568141407,Brightness_2,16.0
1512568141437,Sound_P,65.8563679754536
1512568141441,PodiumIR,90
1512568147842,Temperature_1,24.6
1512568147845,Humidity_1,14.889108985369157
1512568147851,Temperature_2,24.49
1512568147853,Humidity_2,14.149189701764197
1512568147856,Brightness_2,16.0
1512568151448,Sound_P,66.44593723960276
1512568151451,PodiumIR,98
1512568154290,Temperature_1,24.6
1512568154293,Humidity_1,14.889108985369157
1512568154299,Temperature_2,24.49
1512568154301,Humidity_2,14.149189701764197
1512568154305,Brightness_2,16.0
1512568160719,Temperature_1,24.6
1512568160722,Humidity_1,14.889108985369157
1512568160728,Temperature_2,24.49
1512568160730,Humidity_2,14.149189701764197
1512568160734,Brightness_2,16.0
1512568161458,Sound_P,65.24535518573873
1512568161462,PodiumIR,105
1512568167399,Temperature_1,24.6
1512568167402,Humidity_1,14.889108985369157
1512568167408,Temperature_2,24.49
1512568167410,Humidity_2,14.149189701764197
1512568167413,Brightness_2,16.0
1512568171466,Sound_P,67.01551720930587
1512568171470,PodiumIR,98
1512568173852,Temperature_1,24.6
1512568173855,Humidity_1,14.889108985369157
1512568173861,Temperature_2,24.49
1512568173863,Humidity_2,14.149189701764197
1512568173867,Brightness_2,16.0
1512568180294,Temperature_1,24.6
1512568180297,Humidity_1,14.889108985369157
1512568180304,Temperature_2,24.49
1512568180306,Humidity_2,14.149189701764197
1512568180308,Brightness_2,16.0
1512568181475,Sound_P,64.61127993529891
1512568181478,PodiumIR,96
1512568186700,Temperature_1,24.49
1512568186703,Humidity_1,15.012428865969973
1512568186709,Temperature_2,24.49
1512568186712,Humidity_2,14.149189701764197
1512568186716,Brightness_2,16.0
1512568191483,Sound_P,67.01551720930587
1512568191487,PodiumIR,132
1512568193407,Temperature_1,24.49
1512568193410,Humidity_1,15.012428865969973
1512568193416,Temperature_2,24.49
1512568193418,Humidity_2,14.149189701764197
1512568193422,Brightness_2,16.0
1512568199852,Temperature_1,24.49
1512568199855,Humidity_1,15.012428865969973
1512568199861,Temperature_2,24.49
1512568199863,Humidity_2,14.149189701764197
1512568199868,Brightness_2,16.0
1512568201495,Sound_P,65.24535518573873
1512568201498,PodiumIR,80
1512568206490,Temperature_1,24.49
1512568206493,Humidity_1,15.012428865969973
1512568206499,Temperature_2,24.49
1512568206502,Humidity_2,14.149189701764197
1512568206504,Brightness_2,16.0
1512568211509,Sound_P,65.24535518573873
1512568211515,PodiumIR,96
1512568212889,Temperature_1,24.49
1512568212892,Humidity_1,15.012428865969973
1512568212898,Temperature_2,24.37
1512568212901,Humidity_2,14.149189701764197
1512568212905,Brightness_2,16.0
1512568219412,Temperature_1,24.49
1512568219415,Humidity_1,15.012428865969973
1512568219421,Temperature_2,24.37
1512568219423,Humidity_2,14.149189701764197
1512568219426,Brightness_2,16.0
1512568221527,Sound_P,65.8563679754536
1512568221530,PodiumIR,97
1512568225863,Temperature_1,24.49
1512568225865,Humidity_1,15.012428865969973
1512568225871,Temperature_2,24.37
1512568225874,Humidity_2,14.149189701764197
1512568225876,Brightness_2,16.0
1512568231540,Sound_P,65.8563679754536
1512568231544,PodiumIR,108
1512568232309,Temperature_1,24.49
1512568232312,Humidity_1,15.012428865969973
1512568232319,Temperature_2,24.37
1512568232321,Humidity_2,14.149189701764197
1512568232324,Brightness_2,16.0
1512568238726,Temperature_1,24.49
1512568238729,Humidity_1,15.012428865969973
1512568238735,Temperature_2,24.37
1512568238738,Humidity_2,14.149189701764197
1512568238740,Brightness_2,16.0
1512568241549,Sound_P,66.44593723960276
1512568241553,PodiumIR,74
1512568245428,Temperature_1,24.49
1512568245431,Humidity_1,15.012428865969973
1512568245437,Temperature_2,24.37
1512568245439,Humidity_2,14.149189701764197
1512568245442,Brightness_2,16.0
1512568251559,Sound_P,65.8563679754536
1512568251562,PodiumIR,98
1512568252082,Temperature_1,24.49
1512568252085,Humidity_1,15.012428865969973
1512568252091,Temperature_2,24.37
1512568252093,Humidity_2,14.149189701764197
1512568252097,Brightness_2,16.0
1512568258510,Temperature_1,24.49
1512568258513,Humidity_1,15.012428865969973
1512568258519,Temperature_2,24.37
1512568258521,Humidity_2,14.149189701764197
1512568258524,Brightness_2,16.0
1512568261568,Sound_P,67.01551720930587
1512568261571,PodiumIR,101
1512568265198,Temperature_1,24.49
1512568265201,Humidity_1,15.012428865969973
1512568265208,Temperature_2,24.37
1512568265210,Humidity_2,14.149189701764197
1512568265213,Brightness_2,16.0
1512568271575,Sound_P,65.24535518573873
1512568271579,PodiumIR,98
1512568271608,Temperature_1,24.49
1512568271611,Humidity_1,15.012428865969973
1512568271617,Temperature_2,24.37
1512568271619,Humidity_2,14.149189701764197
1512568271623,Brightness_2,16.0
1512568278298,Temperature_1,24.49
1512568278301,Humidity_1,15.012428865969973
1512568278307,Temperature_2,24.37
1512568278309,Humidity_2,14.149189701764197
1512568278312,Brightness_2,16.0
1512568281582,Sound_P,65.24535518573873
1512568281585,PodiumIR,109
1512568284699,Temperature_1,24.49
1512568284702,Humidity_1,15.012428865969973
1512568284709,Temperature_2,24.37
1512568284711,Humidity_2,14.149189701764197
1512568284715,Brightness_2,16.0
1512568291400,Temperature_1,24.49
1512568291403,Humidity_1,15.012428865969973
1512568291409,Temperature_2,24.37
1512568291411,Humidity_2,14.149189701764197
1512568291415,Brightness_2,16.0
1512568291591,Sound_P,67.56641902255494
1512568291594,PodiumIR,80
1512568297800,Temperature_1,24.49
1512568297802,Humidity_1,15.012428865969973
1512568297808,Temperature_2,24.37
1512568297811,Humidity_2,14.149189701764197
1512568297813,Brightness_2,16.0
1512568301600,Sound_P,65.24535518573873
1512568301603,PodiumIR,88
1512568304488,Temperature_1,24.49
1512568304491,Humidity_1,15.012428865969973
1512568304497,Temperature_2,24.37
1512568304501,Humidity_2,14.149189701764197
1512568304504,Brightness_2,16.0
1512568311271,Temperature_1,24.6
1512568311274,Humidity_1,15.012428865969973
1512568311280,Temperature_2,24.37
1512568311282,Humidity_2,14.149189701764197
1512568311285,Brightness_2,16.0
1512568311610,Sound_P,65.8563679754536
1512568311613,PodiumIR,95
1512568317726,Temperature_1,24.6
1512568317730,Humidity_1,15.012428865969973
1512568317737,Temperature_2,24.37
1512568317740,Humidity_2,14.149189701764197
